[编写日期]
2020/09/07 19:23:28

[伺服单元类型]
SGD7S-7R6A10B202

[电机型号]
SGM7G-09A7C61

[波形跟踪数据文件]
<No File>

[波形跟踪数据]
,TRACE1,TRACE2,TRACE3,I/O1,I/O2,I/O3
时间,反馈速度,转矩指令,指令速度,/S-ON,/P-CON,Unsetting
[ms],[min-1],[%],[min-1],-,-,-
158.00000,-168.750000,-15.342407,-171.606445,0.000000,1.000000,0.000000
160.00000,-168.750000,-15.686340,-171.606445,0.000000,1.000000,0.000000
162.00000,-168.750000,-15.177917,-171.606445,0.000000,1.000000,0.000000
164.00000,-168.750000,-15.417175,-171.606445,0.000000,1.000000,0.000000
166.00000,-168.750000,-15.955505,-171.606445,0.000000,1.000000,0.000000
168.00000,-168.750000,-16.448975,-171.606445,0.000000,1.000000,0.000000
170.00000,-168.750000,-16.673279,-171.826172,0.000000,1.000000,0.000000
172.00000,-168.750000,-16.404114,-171.826172,0.000000,1.000000,0.000000
174.00000,-168.969727,-15.716248,-171.826172,0.000000,1.000000,0.000000
176.00000,-168.969727,-15.192871,-171.826172,0.000000,1.000000,0.000000
178.00000,-168.969727,-14.729309,-171.606445,0.000000,1.000000,0.000000
180.00000,-168.969727,-15.073242,-171.606445,0.000000,1.000000,0.000000
182.00000,-168.969727,-15.327454,-171.606445,0.000000,1.000000,0.000000
184.00000,-168.969727,-14.759216,-171.606445,0.000000,1.000000,0.000000
186.00000,-168.969727,-14.714355,-171.606445,0.000000,1.000000,0.000000
188.00000,-168.969727,-14.789124,-171.606445,0.000000,1.000000,0.000000
190.00000,-168.969727,-14.893799,-171.606445,0.000000,1.000000,0.000000
192.00000,-168.750000,-15.910645,-171.606445,0.000000,1.000000,0.000000
194.00000,-168.750000,-15.776062,-171.606445,0.000000,1.000000,0.000000
196.00000,-168.969727,-15.207825,-171.606445,0.000000,1.000000,0.000000
198.00000,-168.969727,-14.819031,-171.606445,0.000000,1.000000,0.000000
200.00000,-168.969727,-15.028381,-171.606445,0.000000,1.000000,0.000000
202.00000,-168.750000,-15.895691,-171.606445,0.000000,1.000000,0.000000
204.00000,-168.750000,-16.075134,-171.606445,0.000000,1.000000,0.000000
206.00000,-168.530273,-17.106934,-171.826172,0.000000,1.000000,0.000000
208.00000,-168.530273,-18.138733,-171.826172,0.000000,1.000000,0.000000
210.00000,-168.530273,-18.647156,-172.045898,0.000000,1.000000,0.000000
212.00000,-168.750000,-18.258362,-172.045898,0.000000,1.000000,0.000000
214.00000,-168.969727,-17.495728,-172.045898,0.000000,1.000000,0.000000
