[编写日期]
2020/09/07 19:37:31

[伺服单元类型]
SGD7S-7R6A10B202

[电机型号]
SGM7G-09A7C61

[波形跟踪数据文件]
<No File>

[波形跟踪数据]
,TRACE1,TRACE2,TRACE3,I/O1,I/O2,I/O3
时间,反馈速度,转矩指令,指令速度,/S-ON,/P-CON,Unsetting
[ms],[min-1],[%],[min-1],-,-,-
0.00000,168.969727,22.191162,172.924805,0.000000,1.000000,0.000000
2.00000,168.530273,23.312683,172.924805,0.000000,1.000000,0.000000
4.00000,168.530273,23.342590,172.924805,0.000000,1.000000,0.000000
6.00000,168.750000,22.565002,172.924805,0.000000,1.000000,0.000000
8.00000,168.530273,23.447266,172.924805,0.000000,1.000000,0.000000
10.00000,168.310547,25.047302,172.924805,0.000000,1.000000,0.000000
12.00000,168.530273,24.404297,172.924805,0.000000,1.000000,0.000000
14.00000,168.310547,25.645447,172.924805,0.000000,1.000000,0.000000
16.00000,168.090820,26.228638,173.144531,0.000000,1.000000,0.000000
18.00000,168.310547,25.824890,173.144531,0.000000,1.000000,0.000000
20.00000,168.310547,26.303406,173.144531,0.000000,1.000000,0.000000
22.00000,168.090820,26.647339,173.144531,0.000000,1.000000,0.000000
24.00000,168.310547,25.690308,172.924805,0.000000,1.000000,0.000000
26.00000,168.310547,24.972534,172.924805,0.000000,1.000000,0.000000
28.00000,168.090820,25.391235,172.705078,0.000000,1.000000,0.000000
30.00000,168.310547,24.479065,172.485352,0.000000,1.000000,0.000000
32.00000,168.310547,22.879028,172.265625,0.000000,1.000000,0.000000
34.00000,167.871094,23.073425,172.045898,0.000000,1.000000,0.000000
36.00000,167.871094,21.877136,171.826172,0.000000,1.000000,0.000000
38.00000,167.651367,21.024780,171.386719,0.000000,1.000000,0.000000
40.00000,166.992188,22.071533,170.947266,0.000000,1.000000,0.000000
42.00000,166.992188,21.308899,170.507813,0.000000,1.000000,0.000000
44.00000,166.772461,19.529419,170.068359,0.000000,1.000000,0.000000
46.00000,166.113281,19.335022,169.628906,0.000000,1.000000,0.000000
48.00000,165.893555,18.004150,168.969727,0.000000,1.000000,0.000000
50.00000,165.673828,16.493835,168.310547,0.000000,1.000000,0.000000
52.00000,164.575195,17.241516,167.651367,0.000000,1.000000,0.000000
54.00000,164.135742,16.912537,166.772461,0.000000,1.000000,0.000000
56.00000,163.696289,15.088196,166.113281,0.000000,1.000000,0.000000
58.00000,162.597656,16.045227,165.234375,0.000000,1.000000,0.000000
60.00000,161.938477,15.327454,164.355469,0.000000,1.000000,0.000000
62.00000,161.279297,13.862000,163.476563,0.000000,1.000000,0.000000
64.00000,160.400391,13.473206,162.377930,0.000000,1.000000,0.000000
66.00000,159.521484,12.620850,161.499023,0.000000,1.000000,0.000000
68.00000,158.642578,11.170349,160.180664,0.000000,1.000000,0.000000
70.00000,157.543945,10.751648,159.082031,0.000000,1.000000,0.000000
72.00000,156.445313,10.826416,157.983398,0.000000,1.000000,0.000000
74.00000,155.346680,9.630127,156.665039,0.000000,1.000000,0.000000
76.00000,154.028320,9.286194,155.346680,0.000000,1.000000,0.000000
78.00000,152.929688,8.807678,154.028320,0.000000,1.000000,0.000000
80.00000,151.611328,7.970276,152.490234,0.000000,1.000000,0.000000
82.00000,150.073242,8.359070,151.171875,0.000000,1.000000,0.000000
84.00000,148.754883,7.910461,149.633789,0.000000,1.000000,0.000000
86.00000,147.436523,6.474915,148.095703,0.000000,1.000000,0.000000
88.00000,145.898438,6.250610,146.557617,0.000000,1.000000,0.000000
90.00000,144.360352,6.101074,144.799805,0.000000,1.000000,0.000000
92.00000,143.041992,4.142151,143.041992,0.000000,1.000000,0.000000
94.00000,141.284180,3.035583,141.284180,0.000000,1.000000,0.000000
96.00000,139.526367,3.080444,139.306641,0.000000,1.000000,0.000000
98.00000,137.768555,1.824341,137.329102,0.000000,1.000000,0.000000
100.00000,136.230469,0.254211,135.351563,0.000000,1.000000,0.000000
102.00000,134.033203,0.119629,133.374023,0.000000,1.000000,0.000000
104.00000,132.275391,-1.271057,131.176758,0.000000,1.000000,0.000000
106.00000,130.517578,-2.781372,128.979492,0.000000,1.000000,0.000000
108.00000,128.320313,-3.229980,126.782227,0.000000,1.000000,0.000000
110.00000,126.342773,-4.052429,124.584961,0.000000,1.000000,0.000000
112.00000,124.145508,-5.532837,122.167969,0.000000,1.000000,0.000000
114.00000,121.728516,-6.101074,119.970703,0.000000,1.000000,0.000000
116.00000,119.531250,-6.654358,117.553711,0.000000,1.000000,0.000000
118.00000,117.553711,-8.344116,114.916992,0.000000,1.000000,0.000000
120.00000,114.916992,-8.239441,112.500000,0.000000,1.000000,0.000000
122.00000,112.280273,-8.239441,110.083008,0.000000,1.000000,0.000000
124.00000,110.083008,-9.136658,107.446289,0.000000,1.000000,0.000000
126.00000,107.446289,-9.286194,104.809570,0.000000,1.000000,0.000000
128.00000,104.809570,-9.286194,102.172852,0.000000,1.000000,0.000000
130.00000,102.392578,-9.899292,99.536133,0.000000,1.000000,0.000000
