[编写日期]
2020/09/07 19:22:22

[伺服单元类型]
SGD7S-7R6A10B202

[电机型号]
SGM7G-09A7C61

[波形跟踪数据文件]
<No File>

[波形跟踪数据]
,TRACE1,TRACE2,TRACE3,I/O1,I/O2,I/O3
时间,反馈速度,转矩指令,指令速度,/S-ON,/P-CON,Unsetting
[ms],[min-1],[%],[min-1],-,-,-
0.00000,-92.944336,-6.235657,-93.383789,0.000000,1.000000,0.000000
2.00000,-91.406250,-6.056213,-92.065430,0.000000,1.000000,0.000000
4.00000,-90.087891,-5.413208,-90.527344,0.000000,1.000000,0.000000
6.00000,-88.549805,-4.471130,-88.769531,0.000000,1.000000,0.000000
8.00000,-87.011719,-4.396362,-87.231445,0.000000,1.000000,0.000000
10.00000,-85.253906,-4.979553,-85.693359,0.000000,1.000000,0.000000
12.00000,-83.496094,-6.041260,-84.155273,0.000000,1.000000,0.000000
14.00000,-81.738281,-6.893616,-82.397461,0.000000,1.000000,0.000000
16.00000,-79.980469,-7.611389,-80.859375,0.000000,1.000000,0.000000
18.00000,-78.222656,-8.224487,-79.321289,0.000000,1.000000,0.000000
20.00000,-76.684570,-8.224487,-77.563477,0.000000,1.000000,0.000000
22.00000,-75.146484,-7.536621,-75.805664,0.000000,1.000000,0.000000
24.00000,-73.388672,-6.250610,-73.828125,0.000000,1.000000,0.000000
26.00000,-71.850586,-4.919739,-72.070313,0.000000,1.000000,0.000000
28.00000,-70.092773,-3.977661,-70.092773,0.000000,1.000000,0.000000
30.00000,-68.334961,-3.185120,-68.115234,0.000000,1.000000,0.000000
32.00000,-66.357422,-2.721558,-66.137695,0.000000,1.000000,0.000000
34.00000,-64.379883,-2.467346,-64.160156,0.000000,1.000000,0.000000
36.00000,-62.402344,-2.811279,-62.182617,0.000000,1.000000,0.000000
38.00000,-60.205078,-3.379517,-60.205078,0.000000,1.000000,0.000000
40.00000,-58.227539,-3.753357,-58.227539,0.000000,1.000000,0.000000
42.00000,-56.250000,-4.127197,-56.469727,0.000000,1.000000,0.000000
44.00000,-54.492188,-4.231873,-54.492188,0.000000,1.000000,0.000000
46.00000,-52.514648,-4.306641,-52.734375,0.000000,1.000000,0.000000
48.00000,-50.756836,-4.037476,-50.976563,0.000000,1.000000,0.000000
50.00000,-48.999023,-3.768311,-48.999023,0.000000,1.000000,0.000000
52.00000,-47.241211,-3.514099,-47.241211,0.000000,1.000000,0.000000
54.00000,-45.483398,-3.334656,-45.263672,0.000000,1.000000,0.000000
56.00000,-43.505859,-3.573914,-43.505859,0.000000,1.000000,0.000000
58.00000,-41.748047,-3.738403,-41.748047,0.000000,1.000000,0.000000
60.00000,-39.990234,-3.768311,-40.209961,0.000000,1.000000,0.000000
62.00000,-38.232422,-4.142151,-38.452148,0.000000,1.000000,0.000000
64.00000,-36.474609,-4.994507,-36.914063,0.000000,1.000000,0.000000
66.00000,-34.716797,-5.906677,-35.156250,0.000000,1.000000,0.000000
68.00000,-32.958984,-6.848755,-33.837891,0.000000,1.000000,0.000000
70.00000,-31.420898,-7.327271,-32.299805,0.000000,1.000000,0.000000
72.00000,-29.882813,-7.387085,-30.761719,0.000000,1.000000,0.000000
74.00000,-28.344727,-7.431946,-29.223633,0.000000,1.000000,0.000000
76.00000,-27.026367,-7.147827,-27.685547,0.000000,1.000000,0.000000
78.00000,-25.488281,-6.684265,-26.147461,0.000000,1.000000,0.000000
80.00000,-24.169922,-6.130981,-24.609375,0.000000,1.000000,0.000000
82.00000,-22.631836,-5.951538,-23.071289,0.000000,1.000000,0.000000
84.00000,-21.093750,-6.190796,-21.533203,0.000000,1.000000,0.000000
86.00000,-19.335938,-6.370239,-19.995117,0.000000,1.000000,0.000000
88.00000,-17.797852,-6.803894,-18.676758,0.000000,1.000000,0.000000
90.00000,-16.259766,-7.491760,-17.138672,0.000000,1.000000,0.000000
92.00000,-14.721680,-8.134766,-15.820313,0.000000,1.000000,0.000000
94.00000,-13.183594,-8.867493,-14.501953,0.000000,1.000000,0.000000
96.00000,-11.865234,-9.226379,-12.963867,0.000000,1.000000,0.000000
98.00000,-10.327148,-9.256287,-11.645508,0.000000,1.000000,0.000000
100.00000,-9.008789,-9.106750,-10.107422,0.000000,1.000000,0.000000
102.00000,-7.690430,-9.061890,-8.789063,0.000000,1.000000,0.000000
104.00000,-6.152344,-8.987122,-7.250977,0.000000,1.000000,0.000000
106.00000,-4.614258,-9.181519,-5.932617,0.000000,1.000000,0.000000
108.00000,-3.295898,-9.256287,-4.394531,0.000000,1.000000,0.000000
110.00000,-1.757813,-9.181519,-3.076172,0.000000,1.000000,0.000000
112.00000,-0.439453,-8.807678,-1.538086,0.000000,1.000000,0.000000
114.00000,0.878906,-7.850647,0.000000,0.000000,1.000000,0.000000
116.00000,1.757813,-5.263672,1.538086,0.000000,1.000000,0.000000
118.00000,2.636719,-0.971985,3.295898,0.000000,1.000000,0.000000
120.00000,3.735352,2.781372,5.273438,0.000000,1.000000,0.000000
