[编写日期]
2020/09/07 19:35:59

[伺服单元类型]
SGD7S-7R6A10B202

[电机型号]
SGM7G-09A7C61

[波形跟踪数据文件]
<No File>

[波形跟踪数据]
,TRACE1,TRACE2,TRACE3,I/O1,I/O2,I/O3
时间,反馈速度,转矩指令,指令速度,/S-ON,/P-CON,Unsetting
[ms],[min-1],[%],[min-1],-,-,-
0.00000,-157.543945,-25.615540,-162.377930,0.000000,1.000000,0.000000
2.00000,-157.983398,-26.049194,-162.817383,0.000000,1.000000,0.000000
4.00000,-158.422852,-26.692200,-163.476563,0.000000,1.000000,0.000000
6.00000,-159.082031,-25.974426,-164.135742,0.000000,1.000000,0.000000
8.00000,-159.741211,-25.944519,-164.575195,0.000000,1.000000,0.000000
10.00000,-160.400391,-25.645447,-165.234375,0.000000,1.000000,0.000000
12.00000,-160.839844,-24.882813,-165.673828,0.000000,1.000000,0.000000
14.00000,-161.279297,-25.226746,-166.113281,0.000000,1.000000,0.000000
16.00000,-161.938477,-24.837952,-166.552734,0.000000,1.000000,0.000000
18.00000,-162.597656,-23.955688,-166.992188,0.000000,1.000000,0.000000
20.00000,-162.817383,-24.135132,-167.431641,0.000000,1.000000,0.000000
22.00000,-163.256836,-24.194946,-167.871094,0.000000,1.000000,0.000000
24.00000,-163.916016,-22.998657,-168.090820,0.000000,1.000000,0.000000
26.00000,-164.355469,-22.101440,-168.530273,0.000000,1.000000,0.000000
28.00000,-164.575195,-22.071533,-168.750000,0.000000,1.000000,0.000000
30.00000,-165.014648,-21.637878,-168.969727,0.000000,1.000000,0.000000
32.00000,-165.454102,-21.413574,-169.409180,0.000000,1.000000,0.000000
34.00000,-165.673828,-21.473389,-169.628906,0.000000,1.000000,0.000000
36.00000,-165.893555,-21.084595,-169.848633,0.000000,1.000000,0.000000
38.00000,-166.552734,-20.022888,-170.068359,0.000000,1.000000,0.000000
40.00000,-166.552734,-19.693909,-170.288086,0.000000,1.000000,0.000000
42.00000,-166.992188,-18.991089,-170.507813,0.000000,1.000000,0.000000
44.00000,-167.431641,-17.166748,-170.507813,0.000000,1.000000,0.000000
46.00000,-167.431641,-17.839661,-170.727539,0.000000,1.000000,0.000000
48.00000,-167.211914,-19.080811,-170.947266,0.000000,1.000000,0.000000
50.00000,-167.651367,-18.796692,-170.947266,0.000000,1.000000,0.000000
52.00000,-167.651367,-19.604187,-171.166992,0.000000,1.000000,0.000000
54.00000,-167.651367,-20.097656,-171.386719,0.000000,1.000000,0.000000
56.00000,-168.090820,-18.751831,-171.386719,0.000000,1.000000,0.000000
58.00000,-168.090820,-18.796692,-171.606445,0.000000,1.000000,0.000000
60.00000,-168.090820,-19.529419,-171.606445,0.000000,1.000000,0.000000
62.00000,-168.530273,-18.123779,-171.606445,0.000000,1.000000,0.000000
64.00000,-168.310547,-18.841553,-171.826172,0.000000,1.000000,0.000000
66.00000,-167.871094,-20.561218,-171.826172,0.000000,1.000000,0.000000
68.00000,-168.310547,-19.574280,-171.826172,0.000000,1.000000,0.000000
70.00000,-168.310547,-19.110718,-171.826172,0.000000,1.000000,0.000000
72.00000,-168.090820,-20.022888,-171.826172,0.000000,1.000000,0.000000
74.00000,-168.310547,-19.783630,-171.826172,0.000000,1.000000,0.000000
76.00000,-168.090820,-19.933167,-171.826172,0.000000,1.000000,0.000000
78.00000,-168.310547,-19.394836,-171.606445,0.000000,1.000000,0.000000
80.00000,-168.530273,-17.301331,-171.386719,0.000000,1.000000,0.000000
82.00000,-168.310547,-16.748047,-171.166992,0.000000,1.000000,0.000000
84.00000,-168.090820,-17.196655,-171.166992,0.000000,1.000000,0.000000
86.00000,-168.090820,-16.030273,-170.727539,0.000000,1.000000,0.000000
88.00000,-168.090820,-14.789124,-170.507813,0.000000,1.000000,0.000000
90.00000,-167.431641,-15.462036,-170.288086,0.000000,1.000000,0.000000
92.00000,-167.431641,-15.297546,-170.068359,0.000000,1.000000,0.000000
94.00000,-167.431641,-13.787231,-169.628906,0.000000,1.000000,0.000000
96.00000,-166.772461,-14.430237,-169.409180,0.000000,1.000000,0.000000
98.00000,-166.552734,-14.624634,-168.969727,0.000000,1.000000,0.000000
100.00000,-166.333008,-13.876953,-168.750000,0.000000,1.000000,0.000000
102.00000,-165.893555,-14.146118,-168.310547,0.000000,1.000000,0.000000
104.00000,-165.454102,-14.190979,-168.090820,0.000000,1.000000,0.000000
106.00000,-165.454102,-12.815247,-167.651367,0.000000,1.000000,0.000000
108.00000,-165.014648,-12.620850,-167.211914,0.000000,1.000000,0.000000
110.00000,-164.355469,-14.041443,-166.772461,0.000000,1.000000,0.000000
112.00000,-164.135742,-13.577881,-166.333008,0.000000,1.000000,0.000000
114.00000,-163.696289,-13.428345,-165.893555,0.000000,1.000000,0.000000
116.00000,-163.037109,-14.310608,-165.673828,0.000000,1.000000,0.000000
118.00000,-162.597656,-15.088196,-165.234375,0.000000,1.000000,0.000000
120.00000,-161.938477,-15.372314,-164.794922,0.000000,1.000000,0.000000
