[编写日期]
2020/09/07 19:37:03

[伺服单元类型]
SGD7S-7R6A10B202

[电机型号]
SGM7G-09A7C61

[波形跟踪数据文件]
<No File>

[波形跟踪数据]
,TRACE1,TRACE2,TRACE3,I/O1,I/O2,I/O3
时间,反馈速度,转矩指令,指令速度,/S-ON,/P-CON,Unsetting
[ms],[min-1],[%],[min-1],-,-,-
0.00000,106.347656,11.992798,107.885742,0.000000,1.000000,0.000000
2.00000,105.029297,11.604004,106.787109,0.000000,1.000000,0.000000
4.00000,104.150391,10.661926,105.468750,0.000000,1.000000,0.000000
6.00000,103.271484,9.002075,104.150391,0.000000,1.000000,0.000000
8.00000,101.733398,9.405823,103.051758,0.000000,1.000000,0.000000
10.00000,100.634766,9.061890,101.733398,0.000000,1.000000,0.000000
12.00000,99.536133,7.656250,100.415039,0.000000,1.000000,0.000000
14.00000,97.998047,8.059998,99.096680,0.000000,1.000000,0.000000
16.00000,96.679688,8.104858,97.778320,0.000000,1.000000,0.000000
18.00000,95.581055,7.416992,96.240234,0.000000,1.000000,0.000000
20.00000,93.823242,7.790833,94.921875,0.000000,1.000000,0.000000
22.00000,92.724609,6.848755,93.383789,0.000000,1.000000,0.000000
24.00000,91.406250,5.398254,91.845703,0.000000,1.000000,0.000000
26.00000,89.868164,5.891724,90.307617,0.000000,1.000000,0.000000
28.00000,88.330078,5.293579,88.769531,0.000000,1.000000,0.000000
30.00000,86.791992,4.650574,87.231445,0.000000,1.000000,0.000000
32.00000,85.034180,5.458069,85.473633,0.000000,1.000000,0.000000
34.00000,83.496094,5.413208,83.935547,0.000000,1.000000,0.000000
36.00000,82.177734,3.843079,82.177734,0.000000,1.000000,0.000000
38.00000,80.419922,3.648682,80.419922,0.000000,1.000000,0.000000
40.00000,78.662109,3.215027,78.662109,0.000000,1.000000,0.000000
42.00000,77.124023,1.555176,76.684570,0.000000,1.000000,0.000000
44.00000,75.366211,0.747681,74.707031,0.000000,1.000000,0.000000
46.00000,73.608398,0.388794,72.949219,0.000000,1.000000,0.000000
48.00000,71.850586,-0.672913,70.971680,0.000000,1.000000,0.000000
50.00000,69.873047,-1.510315,68.994141,0.000000,1.000000,0.000000
52.00000,67.895508,-1.375732,67.016602,0.000000,1.000000,0.000000
54.00000,66.137695,-2.093506,65.039063,0.000000,1.000000,0.000000
56.00000,64.379883,-3.229980,62.841797,0.000000,1.000000,0.000000
58.00000,61.962891,-2.168274,61.083984,0.000000,1.000000,0.000000
60.00000,60.205078,-1.809387,59.106445,0.000000,1.000000,0.000000
62.00000,58.447266,-2.721558,57.128906,0.000000,1.000000,0.000000
64.00000,56.250000,-1.973877,55.151367,0.000000,1.000000,0.000000
66.00000,54.272461,-1.360779,53.393555,0.000000,1.000000,0.000000
68.00000,52.294922,-1.196289,51.416016,0.000000,1.000000,0.000000
70.00000,50.317383,-0.328979,49.658203,0.000000,1.000000,0.000000
72.00000,48.559570,0.269165,47.900391,0.000000,1.000000,0.000000
74.00000,46.582031,0.643005,46.142578,0.000000,1.000000,0.000000
76.00000,44.604492,1.958923,44.604492,0.000000,1.000000,0.000000
78.00000,43.066406,2.706604,42.846680,0.000000,1.000000,0.000000
80.00000,41.308594,2.586975,41.308594,0.000000,1.000000,0.000000
82.00000,39.550781,3.843079,39.770508,0.000000,1.000000,0.000000
84.00000,37.792969,4.605713,38.232422,0.000000,1.000000,0.000000
86.00000,36.474609,4.142151,36.694336,0.000000,1.000000,0.000000
88.00000,34.716797,5.203857,35.156250,0.000000,1.000000,0.000000
90.00000,33.178711,6.160889,33.837891,0.000000,1.000000,0.000000
92.00000,31.860352,5.772095,32.519531,0.000000,1.000000,0.000000
94.00000,30.322266,6.265564,31.201172,0.000000,1.000000,0.000000
96.00000,29.003906,7.312317,29.882813,0.000000,1.000000,0.000000
98.00000,27.905273,7.372131,28.784180,0.000000,1.000000,0.000000
100.00000,26.367188,7.970276,27.465820,0.000000,1.000000,0.000000
102.00000,25.048828,9.106750,26.586914,0.000000,1.000000,0.000000
104.00000,24.169922,9.450684,25.488281,0.000000,1.000000,0.000000
106.00000,22.851563,10.422668,24.609375,0.000000,1.000000,0.000000
108.00000,21.752930,12.082520,23.730469,0.000000,1.000000,0.000000
110.00000,20.874023,12.979736,23.071289,0.000000,1.000000,0.000000
112.00000,19.995117,13.832092,22.412109,0.000000,1.000000,0.000000
114.00000,18.896484,15.641479,21.752930,0.000000,1.000000,0.000000
116.00000,18.457031,16.344299,21.313477,0.000000,1.000000,0.000000
118.00000,17.797852,17.091980,20.874023,0.000000,1.000000,0.000000
120.00000,17.138672,18.901367,20.434570,0.000000,1.000000,0.000000
122.00000,16.699219,19.783630,20.214844,0.000000,1.000000,0.000000
124.00000,16.259766,20.456543,19.995117,0.000000,1.000000,0.000000
126.00000,15.600586,22.355652,19.995117,0.000000,1.000000,0.000000
128.00000,15.600586,23.193054,19.775391,0.000000,1.000000,0.000000
130.00000,15.380859,23.731384,19.775391,0.000000,1.000000,0.000000
