[setting]
numbers=256
sampletime=0.1
ch1eable=1
ch1title=#1 X ADD
ch1color=180,0,0
ch1lrsrc=1
ch2eable=1
ch2title=#2 Y ADD
ch2color=0,0,120
ch2lrsrc=2
ch3eable=1
ch3title=#3 Z ADD
ch3color=0,120,0
ch3lrsrc=3
[data]
0.008,-0.006,1.016
0.008,-0.006,1.016
0.008,-0.006,1.016
0.008,-0.005,1.016
0.008,-0.006,1.017
0.008,-0.006,1.016
0.008,-0.005,1.016
0.008,-0.006,1.016
0.008,-0.005,1.016
0.008,-0.006,1.016
0.008,-0.005,1.016
0.008,-0.005,1.016
0.008,-0.005,1.016
0.009,-0.005,1.016
0.008,-0.006,1.016
0.008,-0.005,1.016
0.009,-0.006,1.016
0.008,-0.005,1.016
0.008,-0.006,1.017
0.008,-0.006,1.016
0.008,-0.006,1.016
0.008,-0.006,1.016
0.008,-0.005,1.016
0.008,-0.006,1.016
0.008,-0.006,1.016
0.008,-0.006,1.016
0.008,-0.005,1.016
0.008,-0.006,1.016
0.008,-0.006,1.016
0.008,-0.006,1.017
0.008,-0.006,1.017
0.008,-0.005,1.016
0.008,-0.006,1.016
0.008,-0.006,1.016
0.008,-0.006,1.016
0.008,-0.006,1.016
0.008,-0.005,1.016
0.008,-0.005,1.016
0.008,-0.006,1.016
0.009,-0.006,1.016
0.008,-0.006,1.016
0.008,-0.006,1.016
0.008,-0.006,1.016
0.008,-0.005,1.016
0.008,-0.006,1.016
0.009,-0.006,1.016
0.009,-0.005,1.016
0.008,-0.005,1.016
0.009,-0.006,1.016
0.008,-0.006,1.016
0.008,-0.006,1.016
0.008,-0.005,1.016
0.008,-0.006,1.016
0.008,-0.006,1.016
0.009,-0.005,1.016
0.008,-0.006,1.016
0.009,-0.006,1.016
0.009,-0.005,1.016
0.008,-0.006,1.016
0.008,-0.006,1.017
0.008,-0.005,1.016
0.008,-0.006,1.016
0.008,-0.006,1.016
0.009,-0.006,1.016
0.008,-0.006,1.016
0.009,-0.006,1.016
0.008,-0.006,1.016
0.008,-0.006,1.016
0.009,-0.005,1.016
0.009,-0.005,1.016
0.008,-0.005,1.016
0.008,-0.005,1.016
0.009,-0.006,1.016
0.009,-0.005,1.016
0.008,-0.005,1.016
0.008,-0.006,1.016
0.008,-0.006,1.016
0.008,-0.005,1.016
0.008,-0.006,1.017
0.009,-0.005,1.016
0.008,-0.006,1.016
0.008,-0.006,1.016
0.008,-0.006,1.016
0.009,-0.006,1.016
0.008,-0.006,1.017
0.008,-0.005,1.017
0.008,-0.005,1.016
0.008,-0.005,1.016
0.008,-0.005,1.016
0.008,-0.006,1.016
0.008,-0.006,1.016
0.009,-0.006,1.016
0.009,-0.005,1.016
0.008,-0.006,1.016
0.009,-0.006,1.016
0.009,-0.005,1.016
0.008,-0.005,1.017
0.009,-0.006,1.016
0.008,-0.006,1.016
0.008,-0.005,1.016
0.008,-0.006,1.016
0.008,-0.006,1.017
0.008,-0.006,1.017
0.009,-0.005,1.017
0.008,-0.005,1.016
0.008,-0.005,1.017
0.009,-0.006,1.016
0.008,-0.006,1.016
0.008,-0.006,1.016
0.008,-0.006,1.017
0.008,-0.006,1.017
0.009,-0.006,1.017
0.009,-0.006,1.017
0.008,-0.005,1.017
0.008,-0.005,1.016
0.008,-0.006,1.016
0.008,-0.006,1.016
0.008,-0.006,1.017
0.008,-0.005,1.016
0.008,-0.006,1.016
0.008,-0.005,1.016
0.008,-0.005,1.016
0.008,-0.005,1.016
0.009,-0.005,1.016
0.008,-0.005,1.016
0.008,-0.005,1.016
0.009,-0.006,1.017
0.008,-0.005,1.016
0.008,-0.005,1.016
0.008,-0.006,1.016
0.009,-0.005,1.016
0.008,-0.005,1.016
0.008,-0.005,1.016
0.009,-0.005,1.016
0.008,-0.005,1.016
0.008,-0.005,1.016
0.008,-0.005,1.016
0.008,-0.005,1.016
0.009,-0.005,1.016
0.008,-0.006,1.017
0.008,-0.006,1.017
0.008,-0.006,1.016
0.008,-0.006,1.016
0.008,-0.006,1.016
0.008,-0.006,1.016
0.008,-0.006,1.017
0.008,-0.005,1.016
0.008,-0.005,1.016
0.008,-0.005,1.016
0.008,-0.005,1.016
0.008,-0.005,1.016
0.009,-0.006,1.016
0.009,-0.006,1.016
0.008,-0.006,1.016
0.008,-0.005,1.016
0.008,-0.006,1.016
0.008,-0.005,1.016
0.009,-0.005,1.016
0.008,-0.006,1.016
0.008,-0.006,1.016
0.008,-0.006,1.016
0.009,-0.005,1.016
0.008,-0.005,1.017
0.008,-0.006,1.016
0.008,-0.005,1.016
0.008,-0.005,1.016
0.008,-0.006,1.016
0.009,-0.006,1.016
